id;marca;nomeDaPeca;precoComDesconto;precoSemDesconto;Descricao;Tamanho;Condicao;Cores;Disponível;Data;Status
19894;Sem Marca;Suéter Cropped Branco;59;59;Suéter cropped branco de lã, amplo. Medidas da peça: Ombros 44cm, Largura 120cm, Comprimento 47cm, Comprimento da Manga 53cm.;P;Vintage;;VENDIDO;2018-11-17 03:23:41.638464;VERIFICADO
19895;Knit Now;Cardigan de Lã Pura Knit Now;149;149;Cardigan de lã pura, tricotado à mão. É cinza, com padronagem em vermelho e laranja. É uma peça bem pesada, ideal para o frio. Fechamento pot botões na parte da frente. Produzido e garimpado em Montevidéu, Uruguai.;G;Vintage;;VENDIDO;2018-11-17 01:19:17.050700;VERIFICADO
19896;Poivre Blanc;Suéter Branco e Cinza;99;99;Suéter de lã com padronagem em branco e cinza. É amplo e possui os ombros bem caídos. Garimpado em Montevidéu, Uruguai.;G;Vintage;;DISPONIVEL;2018-11-17 02:57:14.920375;VERIFICADO
19897;Cueros & Cueros;Jaqueta Cueros & Cueros;199;199;Jaqueta de couro natural, forrada, com zíper na parte da frente. Possui dois bolsos na parte da frente. Garimpada em Montevidéu, Uruguai.;G;Vintage;;DISPONIVEL;2018-11-17 03:40:00.231206;VERIFICADO
19898;Hunting Horn;Suéter Hunting Horn;69;69;Suéter com padronagem de listras nas cores verde, marinho e vinho, com brasão bordado na parte da frente.;M;Vintage;;VENDIDO;2018-11-17 03:35:53.848356;VERIFICADO
19899;Caore;Suéter Vintage Geométrico;99;99;Suéter de lã sintética com padronagem geométrica. Garimpado em Montevidéu. Uruguai.;M;Vintage;;VENDIDO;2018-11-17 02:14:43.136914;VERIFICADO
19900;Sem Marca;Cardigan Vermelho e Preto;69;69;Cardigan de lã sintética com padronagem em vermelho e preto. Não possui botões.;P;Vintage;;DISPONIVEL;2018-11-17 01:08:33.554985;VERIFICADO
19901;Pepper & Mint;Cardigan Preto e Branco Pepper & Mint;99;99;Cardigan de lã sintética com padronagem em preto e branco. Não possui botões. Garimpado em Montevidéu, Uruguai.;M;Vintage;;VENDIDO;2018-11-17 03:39:29.567581;VERIFICADO
19902;Sem Marca;Cardigan Metalizado Preto e Azul;59;59;Cardigan preto e azul, com fios metalizados. Tem as mangas bufantes, e possui botões apenas na barra.;M;Vintage;;DISPONIVEL;2018-11-17 02:53:00.085204;VERIFICADO
19903;Oscar Sports USA;Jaqueta de Cotelê com Pelos;199;199;Jaqueta de cotelê, totalmente forrada com pelo sintético. Possui 4 bolsos na parte da frente. com zíper na parte da frente. Possui dois bolsos na parte da frente. Garimpada em Montevidéu, Uruguai.;XG;Vintage;;VENDIDO;2018-11-17 01:18:30.185355;VERIFICADO
14240;Spizzato;Vestido Abstrato;19;45;Vestido em malha estampada com parte de cima ampla. Saia assimétrica com franzido lateral e forro.;M;Vintage;;DISPONIVEL;2018-11-17 03:22:44.204262;VERIFICADO
11714;Blue Steel;Bolsa Camurça;30;30;Bolsa pequena lateral de camurça com detalhes na frente. A camurça possui desgaste de uso.;P;Vintage;;VENDIDO;2018-11-17 03:19:39.064213;VERIFICADO
11716;Marc Jacobs;Blazer Marc Jacobs;65;85;Blazer 48 masculino com dois botões e bolsos na frente.;M;Vintage;;VENDIDO;2018-11-17 02:40:25.162996;VERIFICADO
14302;Sem Marca;Camisa Vintage Estampada;55;55;Camisa estampada de manga comprida com um bolso na frente.;G;Vintage;;VENDIDO;2018-11-17 03:12:10.420311;VERIFICADO
